Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type
data1,penalties_saved,int64,data2,penalties_saved,int64,data3,penalties_saved,int64,,,,data5,GW,int64,data6,GW,int64,data7,transfers_in,int64,data8,transfers_in,int64
data1,recoveries,int64,data2,recoveries,int64,data3,recoveries,int64,,,,,,,,,,data7,transfers_out,int64,data8,transfers_out,int64
data1,red_cards,int64,data2,red_cards,int64,data3,red_cards,int64,,,,,,,,,,data7,value,int64,data8,value,int64
data1,round,int64,data2,round,int64,data3,round,int64,,,,,,,,,,data7,was_home,bool,data8,was_home,bool
data1,saves,int64,data2,saves,int64,data3,saves,int64,,,,,,,,,,data7,yellow_cards,int64,data8,yellow_cards,int64
data1,selected,int64,data2,selected,int64,data3,selected,int64,,,,,,,,,,data7,GW,int64,data8,GW,int64
data1,tackled,int64,data2,tackled,int64,data3,tackled,int64,,,,,,,,,,,,,,,
data1,tackles,int64,data2,tackles,int64,data3,tackles,int64,,,,,,,,,,,,,,,
data1,target_missed,int64,data2,target_missed,int64,data3,target_missed,int64,,,,,,,,,,,,,,,
data1,team_a_score,int64,data2,team_a_score,int64,data3,team_a_score,int64,,,,,,,,,,,,,,,
data1,team_h_score,int64,data2,team_h_score,int64,data3,team_h_score,int64,,,,,,,,,,,,,,,
data1,threat,int64 - float 64,data2,threat,int64 - float 64,data3,threat,float64,,,,,,,,,,,,,,,
data1,total_points,int64,data2,total_points,int64,data3,total_points,int64,,,,,,,,,,,,,,,
data1,transfers_balance,int64,data2,transfers_balance,int64,data3,transfers_balance,int64,,,,,,,,,,,,,,,
data1,transfers_in,int64,data2,transfers_in,int64,data3,transfers_in,int64,,,,,,,,,,,,,,,
data1,transfers_out,int64,data2,transfers_out,int64,data3,transfers_out,int64,,,,,,,,,,,,,,,
data1,value,int64,data2,value,int64,data3,value,int64,,,,,,,,,,,,,,,
data1,was_home,bool,data2,was_home,bool,data3,was_home,bool,,,,,,,,,,,,,,,
data1,winning_goals,int64,data2,winning_goals,int64,data3,winning_goals,int64,,,,,,,,,,,,,,,
data1,yellow_cards,int64,data2,yellow_cards,int64,data3,yellow_cards,int64,,,,,,,,,,,,,,,
data1,GW,int64,data2,GW,int64,data3,GW,int64,,,,,,,,,,,,,,,
